question_number,question_text,marks,year,question_category,sub_category
15,Discuss the Namami Gauge and National Mission for Clean Ganga (NMCG) programmes and causes of mixed results from the previous schemes. What quantum leaps can help preserve the river Ganga better than incremental inputs ?,12½,2015,Environment and Ecology,
16,"The frequency of earthquakes appears to have increased in the Indian subcontinent. However, India’s preparedness for mitigating their impact has significant gaps. Discuss various aspects.",12½,2015,Disaster Management,
17,"Human rights activists constantly highlight the view that the Armed Forces (Special Powers) Act, 1958 (AFSPA) is a draconian act leading to cases of human rights abuses by the security forces. What sections of AFSPA are opposed by the activists ? Critically evaluate the requirement with reference to the view held by the Apex Court.",12½,2015,Internal Security,
18,Religious indoctrination via digital media has resulted in Indian youth joining the ISIS. What is ISIS and its mission ? How can ISIS be dangerous for the internal security of our country ?,12½,2015,Internal Security,
19,"The persisting drives of the Government for development of large industries in backward areas have resulted in isolating the tribal population and the farmers who face multiple displacements. With Malkangiri and Naxalbari foci, discuss the corrective strategies needed to win the Left Wing Extremism (LWE) doctrine affected citizens back into the mainstream of social and economic growth.",12½,2015,Internal Security,
20,"Considering the threats cyberspace poses for the country, India needs a “Digital Armed Force” to prevent crimes. Critically evaluate the National Cyber Security Policy, 2013 outlining the challenges perceived in its effective implementation.",12½,2015,Internal Security,
1,"Normally countries shift from agriculture to industry and then later to services, but India shifted directly from agriculture to services. What are the reasons for the huge growth of services vis-a-vis industry in the country? Can India become a developed country without a strong industrial base?",12,2014,Economics,
2,"While India's demographic dividend is here, we ignore the dropping rates of employability. What are we missing while doing so? Where will the jobs that India desperately needs come from? Explain.",12,2014,Economics,
3,There is also a point of view that Agricultural Produce Market Committees (APMCs) set up under the State Acts have not only impeded the development of agriculture but also have been the cause of food inflation in India. Critically examine.,12,2014,Agriculture,
4,"""In the villages itself no form of credit organization will be suitable except the cooperative society"" - All India Rural Credit Survey. Discuss this statement in the background of agricultural finance in India. What constraints and challenges do financial institutions supplying agricultural finance face? How can technology be used to better reach and serve rural clients?",12,2014,Agriculture,
5,"The Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013 has come into effect from 1st January, 2014. What are the key issues which would get addressed with the Act in place? What implications would it have on industrialization and agriculture in India?",12,2014,Economics,
6,"Capitalism has guided the world economy to unprecedented progress. However, it often encourages short-sightedness and contributes to wide disparities between the rich and the poor. In this light, would it be correct to believe and adopt capitalism for inclusive growth in India? Discuss.",12,2014,Economics,
7,"Explain how Private Public Partnershio arrangements, in long gestation infrastructure projects, can transfer unsustainable liabilities to the future. What arrangements need to be put in place to ensure that successive generations' capacities are not compromised?",12,2014,Economics,
8,National Urban Transport Policy emphasizes on 'moving people' instead of 'moving vehicles'. Discuss critically the success of the various strategies of the Government in this regard.,12,2014,Governance,
9,Foreign Direct Investment (FDI) in the defence sector is now set to be liberalized. What influence is this expected to have on Indian defence and economy in the short and long run?,12,2014,Economics,
10,"Scientific research in Indian universities is declining, because a career in science is not as attractive as are business professions, engineering or administration, and the universities are becoming consumer-oriented. Critically comment.",12,2014,Science and Technology,
11,"Can overuse and free availability of antibiotics without Doctor's prescription, be contributors to the emergence of drug-resistant diseases in India? What are the available mechanisms for monitoring and control? Critically discuss the various issues involved.",12,2014,Science and Technology,
12,"In a globalized world, Intellectual Property Rights assume significance and are a source of litigation. Broadly distinguish between the terms - Copyrights, Patents and Trade Secrets.",12,2014,Science and Technology,
13,Should the pursuit of carbon-credits and clean development mechanisms set up under UNFCCC be maintained even though there has been a massive slide in the value of a carbon credit? Discuss with respect to India's energy needs for economic growth.,12,2014,Environment and Ecology,
14,"Drought has been recognized as a disaster in view of its spatial expanse, temporal duration, slow onset and lasting effects on vulnerable sections. With a focus on the September 2010 guidelines from the National Disaster Management Authority (NDMA), discuss the mechanisms for preparedness to deal with likely El Nino and La Nina fallouts in India.",12,2014,Disaster Management,
15,Environmental Impact Assessment studies are increasingly undertaken before a project is cleared by the Government. Discuss the environmental impacts of coal-fired thermal plants located at coal pitheads.,12,2014,Environment and Ecology,
16,"""The diverse nature of India as a multi-religious and multi-ethnic society is not immune to the impact of radicalism which is seen in her neighbourhood."" Discuss along with strategies to be adopted to counter this environment.",12,2014,Internal Security,
17,International civil aviation laws provide all countries complete and exclusive sovereignty over the airspace above their territory. What do you understand by 'airspace'? What are the implications of these laws on the space above this airspace? Discuss the challenges which this poses and suggest ways to contain the threat.,12,2014,International Relations,
18,"How illegal transborder migration poses a threat to India's s.ecurity? Discuss the strategies to curb this, bringing out the factors which give impetus to such migration.",12,2014,Internal Security,
19,"In 2012, the longitudinal marking for high-risk areas for piracy was moved from 65 degrees East to 78 degrees East in the Arabian Sea by International Maritime Organization. What impact does this have on India's maritime security concerns?",12,2014,Internal Security,
20,China and Pakistan have entered into an agreement for development of an economic corridor. What threat does this pose for India's security? Critically examine.,12,2014,Internal Security,
